Clave,Descripcion
1122,Administrador general de empresa de seguridad
1211,Administrador de recursos materiales
1212,Administrador financiero
1221,Administrador de un hospital
1223,Administrador de escuelas de jardÃ­n de niÃ±os
1224,Administrador de administraciÃ³n local jurÃ­dica de SAT
1226,Administrador de campo agrÃ­cola
1311,Administrador de rancho
1314,Administrador de planta desfibradora
1321,Administrador de empresa de computaciÃ³n
1322,Administrador de estaciÃ³n de radio y televisiÃ³n
1322,Administrador de televisiÃ³n
1323,Administrador de central camionera
1323,Administrador de transportadora
2212,Actuario
2272,Administrador de sistemas cÃ³mputo
3122,Abonero
7132,Adoquinero
8154,Acabador de suela industrial
1323,Administrador en el alquiler de transporte
1411,Administrador de casas y terrenos
1411,Administrador de inmuebles
1411,Administrador de venta de casas y terrenos
1411,Administrador en el alquiler de equipo ortopÃ©dico
1412,Administrador de comedores industriales
1412,Administrador de restaurante
1422,Administrador de zoolÃ³gico
1423,Administrador de cementerio
1524,Actuario de actas
4111,Abarrotero
6212,Acuicultor
9237,Acarreador de artÃ­culos de vidrio
2135,Abogado litigante
2172,Acordeonista
9221,Acarreador de material de construcciÃ³n
9232,Acomodador de circuitos elÃ©ctricos
9234,Abastecedor de madera
9235,Abastecedor de tela
9236,Acarreador de botellas de refresco
2111,Administrador de procesos de calidad
5231,Aeromoza
7352,Adelgazador de cueros
7353,Adornador de calzado en taller
1211,Administrador de recursos humanos
1212,Administrador de despacho contable
1221,Administrador de jurisdicciÃ³n sanitaria
1223,Administrador de academia de belleza
1223,Administrador en universidad
1226,Administrador de empresa de seguridad privada
1311,Administrador de platanera
1314,Administrador de ladrillera
1315,Administrador de constructora
1322,Administrador de correos
1322,Administrador de repetidora de televisiÃ³n
1323,Administrador de alquiler de carros de volteo
1323,Administrador de taxis
1323,Administrador en el alquiler de automÃ³viles
2272,Administrador de redes de computaciÃ³n
2827,Abatizador
3141,Abastecedor de combustible
8154,Acabador de piel industrial
1323,Administrador en el alquiler de embarcaciones
1411,Administrador de bienes raÃ­ces
1411,Administrador de gasolinera
1411,Administrador de tienda comercial
1411,Administrador en el alquiler de equipo de oficina
1412,Administrador de bar
1412,Administrador de posada
1422,Administrador de servicio de esparcimiento
1422,Administradora de galerÃ­a
1423,Administrador de negocio de depilaciÃ³n lÃ¡ser
1524,Actuario segundo ejecutor
6212,Acuacultor
9237,Abastecedor en la producciÃ³n de fibra de vidrio
2133,Administrador pÃºblico
2151,Adaptador de obras literarias
2815,Adaptador de aparatos para sordera
9232,Acarreador de material elÃ©ctrico
9233,Acomodador de bolsas de polipropileno
9234,Acomodador de madera
9236,Abastecedor de materia prima en panificadora
9236,Acomodador de pan en los hornos
2111,Administrador de empresas
5222,AcompaÃ±ante de persona mayor
7352,Acabador de piel
7352,Adornador de pieles
1129,Administrador general
1212,Administrador de casa de cambio
1221,Administrador de hospital
1222,Administrador de guarderÃ­a
1223,Administrador en servicios de capacitaciÃ³n
1224,Administrador de despacho jurÃ­dico
1311,Administrador de invernadero
1314,Administrador de laboratorio farmacÃ©utico
1314,Administrador de unidad petroquÃ­mica
1321,Administrador del mÃ³dulo de servicios digitales
1322,Administrador de periÃ³dico o revista
1323,Administrador de agencia de transporte de carga
1323,Administrador de microbuses
1323,Administrador del metro
2272,Administrador de bases de datos
2826,Acomodador de huesos
3132,Acomodador de mercancÃ­a en bodega
8154,Acabador de calzado en fÃ¡brica
8154,Adornadora de calzado en fÃ¡brica
1324,Administrador de centro de investigaciones marÃ­timas
1411,Administrador de fraccionamiento
1411,Administrador de salÃ³n de fiestas
1411,Administrador en el alquiler de casas
1411,Administrador en el alquiler de maquinaria para la construcciÃ³n
1412,Administrador de hotel
1422,Administrador de museo
1422,Administradora de biblioteca
1423,Administrador de funeraria
1524,Actuario notificador
6128,Acomodador de huevo
9237,Abastecedor de materia prima para el mosaico
9633,Acomodador de autos
2113,Administrador de empresa turÃ­stica
2135,Abogado penalista
2175,Actriz
9232,Abastecedor de material electrÃ³nico en lÃ­nea de producciÃ³n
9233,Acarreador de tanques en industria petroquÃ­mica
9234,Acarreador de madera
9235,Acomodador de pieles
9236,Acomodador de botellas de vino
1999,Administrador de personal
2622,Actualizador de cartografÃ­a
7222,Abrillantador de metales
7352,Adornador de cueros
1122,Administrador general de empresa privada
1212,Administrador de banco
1221,Administrador de clÃ­nica
1222,Administrador de albergue
1223,Administrador de facultad
1224,Administrador de despacho abogados
1311,Administrador de huertas
1314,Administrador de fÃ¡brica
1314,Administrador de rastro municipal
1321,Administrador del centro de computo
1322,Administrador de local de telÃ©grafos
1323,Administrador de aeropuerto
1323,Administrador de lÃ­nea de trÃ¡ileres
1323,Administrador de transporte de mercancÃ­as
2212,Actuario de seguros
2272,Administradora de sistemas
3132,Abastecedor de mercancÃ­a en almacÃ©n
8153,Acabador de prendas de vestir
8154,Adornador de bolsas de piel en maquiladora
1323,Administrador en el servicio de transporte
1411,Administrador de distribuidora
1411,Administrador de plaza comercial
1411,Administrador de ventas de mueblerÃ­a
1411,Administrador en el alquiler de equipo para la agricultura
1412,Administrador de hostal
1422,Administrador de club deportivo
1422,Administrador del hipÃ³dromo
